id,title,missing_year,classification,confidence,evidence,variant_title,swallowed_by,median_wc,edition_count,present_years
RHETORIC,RHETORIC,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,49611,3,1771|1842|1860
RHETORIC,RHETORIC,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,49611,3,1771|1842|1860
RHETORIC,RHETORIC,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,49611,3,1771|1842|1860
RHETORIC,RHETORIC,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,49611,3,1771|1842|1860
RHETORIC,RHETORIC,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,49611,3,1771|1842|1860
MATERA,MATERA,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,46112,6,1778|1797|1810|1815|1823|1860
DRAMA,DRAMA,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,45711,7,1771|1778|1797|1810|1815|1823|1860
PYROTECHNY,PYROTECHNY,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,43301,6,1778|1810|1815|1823|1842|1860
BEDFORDSHIRE,BEDFORDSHIRE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,43130,6,1778|1810|1815|1823|1842|1860
TELESCOPE,TELESCOPE,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,41821,6,1778|1797|1810|1815|1823|1860
ORES,ORES,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,40775,3,1815|1823|1860
THEOGNIS,THEOGNIS,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,40207,5,1778|1810|1815|1842|1860
THEOGNIS,THEOGNIS,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,40207,5,1778|1810|1815|1842|1860
RESISTANCE,RESISTANCE,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,39536,6,1771|1797|1810|1815|1823|1842
CONIC_SECTIONS,CONIC SECTIONS,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,39322,6,1771|1810|1815|1823|1842|1860
CONIC_SECTIONS,CONIC SECTIONS,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,39322,6,1771|1810|1815|1823|1842|1860
VOCAL,VOCAL,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,37033,6,1771|1778|1797|1810|1815|1842
COMPARATIVE_ANATOMY,COMPARATIVE ANATOMY,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,34446,5,1797|1810|1815|1823|1860
FORTH,FORTH,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,33283,6,1778|1797|1810|1815|1823|1860
ELEMENTS_OF_MUSIC,ELEMENTS OF MUSIC,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,32702,2,1810|1823
NEWSPAPERS,NEWSPAPERS,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,31048,5,1797|1810|1823|1842|1860
EARTHQUAKE,EARTHQUAKE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27688,4,1771|1778|1797|1860
EARTHQUAKE,EARTHQUAKE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27688,4,1771|1778|1797|1860
EARTHQUAKE,EARTHQUAKE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27688,4,1771|1778|1797|1860
EARTHQUAKE,EARTHQUAKE,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27688,4,1771|1778|1797|1860
IVREA,IVREA,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27610,5,1778|1797|1810|1823|1860
IVREA,IVREA,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27610,5,1778|1797|1810|1823|1860
SHAKESPEARE,SHAKESPEARE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27502,5,1778|1810|1815|1823|1860
SHAKESPEARE,SHAKESPEARE,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27502,5,1778|1810|1815|1823|1860
BUENOS_AYRES,BUENOS AYRES,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,27184,5,1797|1815|1823|1842|1860
STONE-MASONRY,STONE-MASONRY,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,26255,2,1823|1860
BEDWIN,BEDWIN,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,25293,2,1771|1842
BEDWIN,BEDWIN,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,25293,2,1771|1842
BEDWIN,BEDWIN,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,25293,2,1771|1842
BEDWIN,BEDWIN,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,25293,2,1771|1842
PERSIA,PERSIA,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,24802,7,1771|1778|1797|1815|1823|1842|1860
CONSTANTINOPOLITAN_HISTORY,CONSTANTINOPOLITAN HISTORY,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,24697,3,1815|1842|1860
CONCORDAT,CONCORDAT,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,23166,4,1797|1810|1842|1860
CONCORDAT,CONCORDAT,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,23166,4,1797|1810|1842|1860
TIMBER,TIMBER,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,23015,4,1771|1810|1842|1860
TIMBER,TIMBER,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,23015,4,1771|1810|1842|1860
TIMBER,TIMBER,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,23015,4,1771|1810|1842|1860
IMPROVISATORI,IMPROVISATORI,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22981,2,1823|1860
NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22733,6,1778|1797|1815|1823|1842|1860
PERSONIFYING,PERSONIFYING,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22164,6,1771|1778|1797|1810|1815|1842
WELLINGTON,WELLINGTON,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22020,2,1771|1860
WELLINGTON,WELLINGTON,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22020,2,1771|1860
WELLINGTON,WELLINGTON,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22020,2,1771|1860
WELLINGTON,WELLINGTON,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22020,2,1771|1860
PARTNERSHIP,PARTNERSHIP,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,22008,5,1778|1810|1815|1842|1860
PERSPECTIVE,PERSPECTIVE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,21724,4,1771|1778|1823|1842
PERSPECTIVE,PERSPECTIVE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,21724,4,1771|1778|1823|1842
PERSPECTIVE,PERSPECTIVE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,21724,4,1771|1778|1823|1842
DOCK,DOCK,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,21463,5,1778|1810|1815|1823|1842
SILK,SILK,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,21194,7,1771|1778|1797|1810|1815|1842|1860
WEIGHTS_AND_MEASURES,WEIGHTS AND MEASURES,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20926,4,1797|1823|1842|1860
PATHOLOGY,PATHOLOGY,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20768,3,1771|1842|1860
PATHOLOGY,PATHOLOGY,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20768,3,1771|1842|1860
PATHOLOGY,PATHOLOGY,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20768,3,1771|1842|1860
PATHOLOGY,PATHOLOGY,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20768,3,1771|1842|1860
SCOTT,SCOTT,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20328,6,1778|1797|1810|1815|1842|1860
MYSTERIES,MYSTERIES,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20240,5,1797|1810|1815|1823|1860
JURISPRUDENCE,JURISPRUDENCE,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20157,3,1771|1823|1842
JURISPRUDENCE,JURISPRUDENCE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20157,3,1771|1823|1842
JURISPRUDENCE,JURISPRUDENCE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20157,3,1771|1823|1842
JURISPRUDENCE,JURISPRUDENCE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20157,3,1771|1823|1842
FORTIFICATION,FORTIFICATION,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,20025,7,1771|1778|1797|1810|1815|1842|1860
ENGRAILED,ENGRAILED,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,19475,6,1778|1797|1810|1823|1842|1860
CALENDAR,CALENDAR,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,17948,5,1771|1797|1810|1842|1860
CALENDAR,CALENDAR,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,17948,5,1771|1797|1810|1842|1860
LOYOLA,LOYOLA,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,17734,4,1810|1823|1842|1860
SLAVERY,SLAVERY,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,17488,3,1797|1842|1860
SLAVERY,SLAVERY,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,17488,3,1797|1842|1860
PLANISPHERE,PLANISPHERE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,16262,6,1778|1810|1815|1823|1842|1860
MINIATURE_PAINTING,MINIATURE PAINTING,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,16250,4,1810|1823|1842|1860
MALTA,MALTA,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15421,7,1771|1778|1810|1815|1823|1842|1860
LIVERPOOL,LIVERPOOL,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15309,6,1771|1797|1810|1815|1842|1860
JENA,JENA,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15283,7,1771|1778|1797|1810|1815|1842|1860
LESLIE,LESLIE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15013,4,1778|1797|1842|1860
LESLIE,LESLIE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15013,4,1778|1797|1842|1860
LESLIE,LESLIE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,15013,4,1778|1797|1842|1860
POLYTHEISM,POLYTHEISM,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,14649,6,1778|1797|1815|1823|1842|1860
AUSTRIA,AUSTRIA,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,14438,7,1771|1778|1797|1815|1823|1842|1860
JAPAN,JAPAN,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13733,7,1771|1778|1797|1810|1815|1823|1860
MENTHA,MENTHA,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13328,5,1771|1778|1797|1823|1842
MENTHA,MENTHA,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13328,5,1771|1778|1797|1823|1842
TENCE,TENCE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13319,2,1810|1842
TENCE,TENCE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13319,2,1810|1842
CHRIST-CHURCH,CHRIST-CHURCH,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13289,5,1771|1778|1797|1810|1860
CHRIST-CHURCH,CHRIST-CHURCH,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13289,5,1771|1778|1797|1810|1860
CHRIST-CHURCH,CHRIST-CHURCH,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,13289,5,1771|1778|1797|1810|1860
ASSAYING,ASSAYING,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12970,4,1797|1823|1842|1860
GOUT,GOUT,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12912,5,1778|1797|1815|1823|1860
GOUT,GOUT,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12912,5,1778|1797|1815|1823|1860
PENN,PENN,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12618,3,1778|1797|1860
PENN,PENN,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12618,3,1778|1797|1860
PENN,PENN,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12618,3,1778|1797|1860
PENN,PENN,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12618,3,1778|1797|1860
CATHEDRAL,CATHEDRAL,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12613,4,1771|1778|1823|1842
CATHEDRAL,CATHEDRAL,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12613,4,1771|1778|1823|1842
MOSS,MOSS,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12388,6,1771|1778|1797|1810|1815|1842
AUXONNE,AUXONNE,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12200,6,1778|1797|1815|1823|1842|1860
INSTINCT,INSTINCT,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12198,6,1771|1778|1797|1810|1815|1860
INSTINCT,INSTINCT,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12198,6,1771|1778|1797|1810|1815|1860
SWIFT,SWIFT,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12163,6,1778|1810|1815|1823|1842|1860
KANT,KANT,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12064,4,1797|1823|1842|1860
KANT,KANT,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12064,4,1797|1823|1842|1860
SWITZERLAND,SWITZERLAND,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,12014,7,1771|1778|1797|1810|1815|1823|1860
SERIES,SERIES,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11898,5,1771|1778|1810|1815|1842
SERIES,SERIES,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11898,5,1771|1778|1810|1815|1842
MIRABEAU,MIRABEAU,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11891,3,1797|1842|1860
MIRABEAU,MIRABEAU,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11891,3,1797|1842|1860
MIRABEAU,MIRABEAU,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11891,3,1797|1842|1860
OUDE,OUDE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11803,3,1815|1842|1860
CIVIL_LAW,CIVIL LAW,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11628,5,1771|1778|1815|1823|1842
MYTHOLOGY,MYTHOLOGY,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11364,6,1771|1778|1797|1823|1842|1860
MYTHOLOGY,MYTHOLOGY,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11364,6,1771|1778|1797|1823|1842|1860
SQUARING,SQUARING,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11302,3,1810|1842|1860
SQUARING,SQUARING,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,11302,3,1810|1842|1860
EUSTACHIUS,EUSTACHIUS,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10935,5,1778|1797|1810|1815|1860
EUSTACHIUS,EUSTACHIUS,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10935,5,1778|1797|1810|1815|1860
SIGNALS,SIGNALS,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10697,3,1778|1797|1842
SIGNALS,SIGNALS,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10697,3,1778|1797|1842
PARTHIA,PARTHIA,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10552,5,1778|1797|1815|1823|1860
PARTHIA,PARTHIA,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10552,5,1778|1797|1815|1823|1860
PLATA,PLATA,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10546,7,1771|1778|1797|1810|1815|1823|1860
IMPOTENCE,IMPOTENCE,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10452,3,1778|1810|1842
IMPOTENCE,IMPOTENCE,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10452,3,1778|1810|1842
IMPOTENCE,IMPOTENCE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10452,3,1778|1810|1842
CONNECTICUT,CONNECTICUT,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10086,7,1771|1797|1810|1815|1823|1842|1860
HERCULANEUM,HERCULANEUM,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10064,5,1797|1815|1823|1842|1860
KNOX,KNOX,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10048,6,1778|1797|1810|1823|1842|1860
LAMP,LAMP,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,10023,7,1771|1778|1797|1810|1823|1842|1860
ZOOPHYTES,ZOOPHYTES,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9768,4,1810|1815|1823|1860
WILNA,WILNA,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9726,3,1771|1810|1842
WILNA,WILNA,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9726,3,1771|1810|1842
WILNA,WILNA,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9726,3,1771|1810|1842
HOTTENTOTS,HOTTENTOTS,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9245,5,1778|1797|1815|1823|1842
GREENLAND,GREENLAND,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9242,6,1778|1797|1810|1815|1842|1860
LEIGHTON,LEIGHTON,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9030,4,1778|1797|1842|1860
LEIGHTON,LEIGHTON,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9030,4,1778|1797|1842|1860
LEIGHTON,LEIGHTON,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,9030,4,1778|1797|1842|1860
PARAGUAY,PARAGUAY,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,8906,7,1771|1778|1797|1815|1823|1842|1860
MASSINGER,MASSINGER,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,8617,5,1797|1815|1823|1842|1860
POTASH,POTASH,1778,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,8380,6,1771|1797|1810|1815|1823|1842
AUSONIUS,AUSONIUS,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,8260,6,1778|1797|1815|1823|1842|1860
PORISM,PORISM,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,8071,5,1797|1810|1815|1842|1860
OILS,OILS,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7841,2,1797|1860
OILS,OILS,1815,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7841,2,1797|1860
OILS,OILS,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7841,2,1797|1860
OILS,OILS,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7841,2,1797|1860
DICTIONARY,DICTIONARY,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7840,6,1778|1810|1815|1823|1842|1860
ROAD-MAKING,ROAD-MAKING,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7836,2,1823|1860
COMBINATION,COMBINATION,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7805,7,1771|1778|1797|1810|1815|1823|1860
VAN,VAN,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7794,6,1778|1797|1810|1815|1823|1860
YOUNG,YOUNG,1797,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7658,5,1778|1810|1815|1842|1860
YOUNG,YOUNG,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7658,5,1778|1810|1815|1842|1860
POTATO,POTATO,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7630,4,1797|1810|1815|1860
CRETE,CRETE,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7613,6,1778|1797|1810|1815|1842|1860
HONDURAS,HONDURAS,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7521,7,1771|1778|1797|1815|1823|1842|1860
MONSTER,MONSTER,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7220,6,1771|1797|1815|1823|1842|1860
CANARY_ISLANDS,CANARY ISLANDS,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7167,2,1823|1860
GOOD_FRIDAY,GOOD FRIDAY,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7129,3,1797|1815|1860
GOOD_FRIDAY,GOOD FRIDAY,1823,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7129,3,1797|1815|1860
GOOD_FRIDAY,GOOD FRIDAY,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7129,3,1797|1815|1860
BAUTZEN,BAUTZEN,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7114,7,1771|1778|1797|1815|1823|1842|1860
FIFE,FIFE,1842,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,7112,7,1771|1778|1797|1810|1815|1823|1860
LINDSAY,LINDSAY,1810,PARSING_OR_EDITORIAL,0.50,In OCR range but not parsed — possible parsing error or editorial removal,,,6936,4,1797|1815|1842|1860
